# Layer 2 (Die attach) 열화 예제, 열화배율 2.5
# P=10 W, T0=25 degC, step heating, noise sigma=0.002 degC
# Rth_total=0.85769 K/W
time_s,temperature_C,delta_temperature_C,Zth_K_per_W
0.019845355,28.310159,3.3101586,0.33101586
0.021106427,28.416476,3.4164761,0.34164761
0.022447634,28.520783,3.520783,0.3520783
0.023874068,28.624057,3.6240567,0.36240567
0.025391144,28.729249,3.7292491,0.37292491
0.027004624,28.826364,3.8263635,0.38263635
0.028720631,28.929827,3.9298273,0.39298273
0.030545682,29.030242,4.0302423,0.40302423
0.032486707,29.122002,4.1220016,0.41220016
0.034551073,29.218846,4.2188458,0.42188458
0.036746619,29.317105,4.3171055,0.43171055
0.039081682,29.406571,4.4065713,0.44065713
0.041565126,29.49718,4.4971796,0.44971796
0.04420638,29.586075,4.5860748,0.45860748
0.047015472,29.680572,4.6805721,0.46805721
0.050003068,29.761035,4.7610351,0.47610351
0.053180511,29.852282,4.852282,0.4852282
0.056559865,29.937616,4.9376164,0.49376164
0.060153959,30.022328,5.0223283,0.50223283
0.06397644,30.109743,5.1097435,0.51097435
0.06804182,30.199908,5.1999079,0.51999079
0.072365534,30.289199,5.289199,0.5289199
0.076963999,30.379872,5.3798725,0.53798725
0.081854673,30.463914,5.4639136,0.54639136
0.087056125,30.561086,5.5610859,0.55610859
0.092588103,30.656644,5.6566444,0.56566444
0.09847161,30.75523,5.75523,0.575523
0.10472898,30.85452,5.8545202,0.58545202
0.11138398,30.953119,5.953119,0.5953119
0.11846187,31.055644,6.0556442,0.60556442
0.12598953,31.161806,6.1618062,0.61618062
0.13399553,31.264709,6.2647093,0.62647093
0.14251027,31.371318,6.3713181,0.63713181
0.15156608,31.483016,6.4830161,0.64830161
0.16119734,31.587781,6.5877815,0.65877815
0.17144061,31.700293,6.7002925,0.67002925
0.1823348,31.808371,6.8083715,0.68083715
0.19392126,31.919753,6.9197529,0.69197529
0.20624398,32.022699,7.0226992,0.70226992
0.21934974,32.132811,7.1328107,0.71328107
0.23328831,32.24084,7.24084,0.724084
0.24811261,32.344769,7.3447691,0.73447691
0.26387891,32.447637,7.447637,0.7447637
0.28064708,32.55093,7.5509296,0.75509296
0.29848079,32.645721,7.6457211,0.76457211
0.31744774,32.738474,7.7384738,0.77384738
0.33761994,32.823902,7.8239021,0.78239021
0.35907399,32.910091,7.9100914,0.79100914
0.38189133,32.986527,7.9865267,0.79865267
0.4061586,33.061582,8.0615816,0.80615816
0.43196793,33.130865,8.1308652,0.81308652
0.45941731,33.190758,8.1907582,0.81907582
0.48861097,33.251089,8.2510885,0.82510885
0.51965973,33.301378,8.3013778,0.83013778
0.55268149,33.346156,8.3461563,0.83461563
0.58780161,33.390385,8.3903846,0.83903846
0.62515344,33.427552,8.4275522,0.84275522
0.66487878,33.452647,8.4526469,0.84526469
0.70712848,33.476553,8.476553,0.8476553
0.75206293,33.502152,8.5021521,0.85021521
0.79985273,33.518613,8.5186128,0.85186128
0.85067934,33.532585,8.5325846,0.85325846
0.90473572,33.547511,8.5475115,0.85475115
0.96222712,33.553076,8.5530757,0.85530757
1.0233718,33.561875,8.5618755,0.85618755
1.0884019,33.565173,8.5651726,0.85651726
